"X.SampleID"	"subject"	"timepoint"	"shannon_alpha"	"sample_site"	"sex"	"ID_unique"	"shannon_avg"
"10370.18C8"	"Volunteer 2"	"7"	4.14361962975	"Foot"	"female"	"Volunteer 2Foot"	4.0844055024375
"10370.20E1"	"Volunteer 2"	"8"	2.947626998	"Foot"	"female"	"Volunteer 2Foot"	2.575290971835
"10370.22E1"	"Volunteer 2"	"9"	2.76496576597	"Foot"	"female"	"Volunteer 2Foot"	3.061513645155
"10370.1E10"	"Volunteer 3"	"0"	3.88007520277	"Foot"	"female"	"Volunteer 3Foot"	3.3735840817125
"10370.4F10"	"Volunteer 3"	"1"	5.53020804405	"Foot"	"female"	"Volunteer 3Foot"	2.78403387642
"10370.6H1"	"Volunteer 3"	"2"	1.36760183017	"Foot"	"female"	"Volunteer 3Foot"	2.126002070315
"10370.8E3"	"Volunteer 3"	"3"	1.66428685046	"Foot"	"female"	"Volunteer 3Foot"	2.7612330180775
"10370.11C11"	"Volunteer 3"	"4"	4.50998402181	"Foot"	"female"	"Volunteer 3Foot"	3.07323573677
"10370.13G12"	"Volunteer 3"	"5"	3.5598792451	"Foot"	"female"	"Volunteer 3Foot"	4.66375399783
"10370.17E1"	"Volunteer 3"	"6"	4.38175465722	"Foot"	"female"	"Volunteer 3Foot"	4.7860766090975
"10370.18F6"	"Volunteer 3"	"7"	2.32714196487	"Foot"	"female"	"Volunteer 3Foot"	2.657134460765
"10370.20G11"	"Volunteer 3"	"8"	2.35713803839	"Foot"	"female"	"Volunteer 3Foot"	2.42509998961667
"10370.23G11"	"Volunteer 3"	"9"	1.67524348226	"Foot"	"female"	"Volunteer 3Foot"	1.87881834139667
"10370.1E4"	"Volunteer 3"	"0"	5.6977201923	"Arm"	"female"	"Volunteer 3Arm"	5.68397472416
"10370.4F5"	"Volunteer 3"	"1"	5.62195574485	"Arm"	"female"	"Volunteer 3Arm"	5.74921582900333
"10370.6G11"	"Volunteer 3"	"2"	5.8282593966	"Arm"	"female"	"Volunteer 3Arm"	5.8282593966
"10370.8E1"	"Volunteer 3"	"3"	6.51890559809	"Arm"	"female"	"Volunteer 3Arm"	6.411822673345
"10370.11C4"	"Volunteer 3"	"4"	5.89692046912	"Arm"	"female"	"Volunteer 3Arm"	5.8854468940375
"10370.13G10"	"Volunteer 3"	"5"	6.36820503286	"Arm"	"female"	"Volunteer 3Arm"	6.32971332298
"10370.17D12"	"Volunteer 3"	"6"	5.7932602838	"Arm"	"female"	"Volunteer 3Arm"	5.7932602838
"10370.18F2"	"Volunteer 3"	"7"	5.58147721884	"Arm"	"female"	"Volunteer 3Arm"	5.4102533056925
"10370.20G7"	"Volunteer 3"	"8"	5.95547192341	"Arm"	"female"	"Volunteer 3Arm"	5.41852065542
"10370.23G7"	"Volunteer 3"	"9"	6.24198677859	"Arm"	"female"	"Volunteer 3Arm"	6.2176917694575
"10370.1F10"	"Volunteer 4"	"0"	5.49883881439	"Arm"	"male"	"Volunteer 4Arm"	5.46017789854333
"10370.5F4"	"Volunteer 4"	"1"	5.99377016047	"Arm"	"male"	"Volunteer 4Arm"	5.99377016047
"10370.7D11"	"Volunteer 4"	"2"	6.66368710508	"Arm"	"male"	"Volunteer 4Arm"	5.93788226471667
"10370.9F3"	"Volunteer 4"	"3"	5.09623696745	"Arm"	"male"	"Volunteer 4Arm"	5.09623696745
"10370.13B2"	"Volunteer 4"	"4"	5.19344210337	"Arm"	"male"	"Volunteer 4Arm"	5.19344210337
"10370.14G10"	"Volunteer 4"	"5"	6.59312485871	"Arm"	"male"	"Volunteer 4Arm"	6.5810285991825
"10370.19C4"	"Volunteer 4"	"7"	5.54062338517	"Arm"	"male"	"Volunteer 4Arm"	5.590941107085
"10370.21F2"	"Volunteer 4"	"8"	6.88645725866	"Arm"	"male"	"Volunteer 4Arm"	6.2446657530975
"10370.23A11"	"Volunteer 4"	"9"	6.24544131364	"Arm"	"male"	"Volunteer 4Arm"	5.61833102282667
"10370.AG11"	"Volunteer 4"	"1.5"	6.70241917096	"Arm"	"male"	"Volunteer 4Arm"	5.96241195546667
"10370.BF6"	"Volunteer 4"	"2.5"	7.11215222532	"Arm"	"male"	"Volunteer 4Arm"	7.110478554205
"10370.CA12"	"Volunteer 4"	"3.5"	6.28809141011	"Arm"	"male"	"Volunteer 4Arm"	6.22873790140333
"10370.CG7"	"Volunteer 4"	"4.5"	4.9107999632	"Arm"	"male"	"Volunteer 4Arm"	3.672470708875
"10370.DD9"	"Volunteer 4"	"5.5"	6.13032433293	"Arm"	"male"	"Volunteer 4Arm"	6.13032433293
"10370.DG7"	"Volunteer 4"	"6.5"	5.83627677819	"Arm"	"male"	"Volunteer 4Arm"	5.629873216495
"10370.AC9"	"Volunteer 4"	"0.5"	6.40504282254	"Arm"	"male"	"Volunteer 4Arm"	6.40504282254
